date,forecast,lower,upper,model
2018-09-04,267.7921516850524,179.34477390836906,356.2395294617357,ets
2018-09-05,335.6683775438324,247.22099976714907,424.1157553205157,ets
2018-09-06,324.9203285483667,236.47295077168337,413.36770632505,ets
2018-09-07,326.75951509999265,238.31213732330934,415.20689287667597,ets
2018-09-08,305.4516264432951,217.00424866661177,393.8990042199784,ets
2018-09-09,287.8551840728537,199.4078062961704,376.302561849537,ets
2018-09-10,249.01191486446342,160.56453708778008,337.45929264114676,ets
2018-09-11,270.88474892019315,182.43737114350984,359.33212669687646,ets
2018-09-12,338.76097477897315,250.31359700228984,427.20835255565646,ets
2018-09-13,328.0129257835074,239.5655480068241,416.4603035601907,ets
2018-09-14,329.8521123351334,241.40473455845012,418.29949011181674,ets
2018-09-15,308.54422367843586,220.09684590175254,396.99160145511917,ets
2018-09-16,290.9477813079945,202.50040353131118,379.3951590846778,ets
2018-09-17,252.10451209960414,163.6571343229208,340.5518898762875,ets
2018-09-18,273.9773461553339,185.5299683786506,362.42472393201723,ets
2018-09-19,341.8535720141139,253.4061942374306,430.30094979079723,ets
2018-09-20,331.10552301864817,242.65814524196486,419.5529007953315,ets
2018-09-21,332.94470957027414,244.49733179359083,421.39208734695745,ets
2018-09-22,311.6368209135766,223.18944313689332,400.08419869025994,ets
2018-09-23,294.04037854313526,205.59300076645195,382.4877563198186,ets
2018-09-24,255.1971093347449,166.74973155806157,343.64448711142825,ets
2018-09-25,277.06994339047463,188.62256561379132,365.51732116715795,ets
2018-09-26,344.9461692492547,256.4987914725714,433.393547025938,ets
2018-09-27,334.19812025378894,245.75074247710563,422.64549803047225,ets
2018-09-28,336.0373068054149,247.5899290287316,424.4846845820982,ets
2018-09-29,314.72941814871734,226.28204037203403,403.17679592540065,ets
2018-09-30,297.13297577827603,208.68559800159272,385.58035355495934,ets
2018-10-01,258.28970656988565,169.84232879320234,346.73708434656896,ets
2018-10-02,280.1625406256154,191.7151628489321,368.6099184022987,ets
2018-10-03,348.0387664843954,259.5913887077121,436.4861442610787,ets
